yr_2007,cartodb_id,name,country_or,yr_2000,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006,yr_2008,yr_2009,yr_2010,yr_2011,yr_2012,yr_2013,yr_2014,yr_2015,yr_2016,yr_2017
1202,125,Namibia,Namibia,2323,2450,2495,1483,1496,1320,1257,1033,1000,1393,2208,1681,1459,1320,1408,1556,1592
1104,126,Niger,Niger,747,901,1398,1187,1049,1246,1299,1067,1102,1128,1105,1197,36283,1301,209511,138165,153450
23753,127,Nigeria,Nigeria,9208,10233,32351,39098,37522,43568,21623,24645,25272,27568,27673,32209,52542,1380219,2391911,3204860,2699501
2725,128,Nicaragua,Nicaragua,18363,17586,13994,10850,8064,5933,4136,2005,1915,1610,1607,1655,2054,2314,2726,3545,4194
4525,129,Netherlands,Netherlands,148,91,120,136,163,6701,4540,4665,5109,2138,2110,2110,2045,109,125,86,103
240,130,Norway,Norway,5,3,5,8,935,957,677,494,2870,3125,2785,2328,1993,15,19,28,20
905512,131,Nepal,Nepal,680,857,1508,1958,2728,404490,3505078,806303,806927,807068,808873,10133,11912,15280,18032,20500,21951
4,132,Nauru,Nauru,3,1,1,4,1,3,3,4,,,3,,,,1,,
18,133,New Zealand,New Zealand,2,6,8,7,6,9,15,18,12,19,28,29,25,33,33,47,61
47,134,Oman,Oman,15,10,29,22,26,20,46,60,72,71,64,70,31,46,55,63,54
40478,135,Pakistan,Pakistan,17338,20334,34544,41240,41745,46371,32399,194471,3040845,2198925,1126390,887673,934394,1832858,2184604,1326509,661801
145,136,Panama,Panama,376,111,152,239,109,106,96,148,146,156,137,140,135,119,125,124,145
10808,137,Peru,Peru,9391,9266,10030,8365,6883,6517,8915,9843,12088,10611,5990,5553,5472,5376,5138,4910,6087
63624,138,Philippines,Philippines,47339,47311,47631,59444,62736,62647,63001,63578,63111,221154,240786,424755,416634,322991,400573,426651,718995
2,139,Palau,Palau,1,,2,2,2,1,1,1,,,,1,7,5,4,4,6
60,140,Papua New Guinea,Papua New Guinea,11,11,24,28,155,44,40,65,82,131,177,260,370,505,539,663,768
3181,141,Poland,Poland,1416,4071,17533,16113,11255,20327,13966,3457,3171,2683,2934,12788,12534,1583,1701,1720,1897
842,142,North Korea,Dem. People's Rep. of Korea,67,72,330,349,412,403,503,1097,1010,1195,1601,2159,2119,1522,1331,1955,1751
75,143,Portugal,Portugal,99,162,613,456,261,201,72,344,110,125,128,635,629,65,93,97,180
147,144,Paraguay,Paraguay,33,28,80,86,84,79,142,133,109,110,113,125,125,129,163,186,247
64,145,Qatar,Qatar,31,31,39,31,6014,18,58,1274,1273,1319,1302,1330,1222,30,34,52,68
6129,146,Romania,Romania,9814,8861,11144,10556,7783,13031,8777,5401,5085,4581,4176,3672,3784,2975,3113,3699,4479
352949,147,Russia,Russian Federation,1253385,1063772,951490,796084,678321,494170,525672,261753,253911,248896,342530,314419,287877,98371,94544,97810,100256
